Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: Age-standardized (Rate),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes","Indicator:Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) - Sex:Both sexes_x"
NOR,2015,3423,26.82,24.5,57.9
NOR,2016,3407,26.55,25,58.3
OMN,1990,2345,114.05,10.9,42.9
OMN,1991,2333,119.87,11.4,43.9
OMN,1992,2410,125.95,11.9,44.8
OMN,1993,2319,131.67,12.3,45.7
OMN,1994,2397,137.94,12.8,46.6
OMN,1995,2362,143.79,13.3,47.6
OMN,1996,2399,149.39,13.7,48.5
OMN,1997,2358,154.78,14.1,49.4
OMN,1998,2544,159.94,14.5,50.3
OMN,1999,2627,164.87,14.9,51.1
OMN,2000,2591,169.42,15.3,51.8
OMN,2001,2684,170.16,15.8,52.4
OMN,2002,2626,175.3,16.3,52.9
OMN,2003,2631,179.05,16.8,53.4
OMN,2004,2664,178.75,17.3,54
OMN,2005,2718,185.74,17.7,54.6
OMN,2006,2768,195.1,18.2,55.2
OMN,2007,2833,199.8,18.7,55.9
OMN,2008,2944,203.73,19.1,56.7
OMN,2009,3026,204.11,19.4,57.5
OMN,2010,3058,207.5,19.7,58.2
OMN,2011,3077,203.67,19.9,58.9
OMN,2012,3115,194.78,20.2,59.6
OMN,2013,3143,193.88,20.6,60.4
OMN,2014,2989,195.14,21.1,61.1
OMN,2015,2948,198.31,21.9,61.9
OMN,2016,2886,198.52,22.9,62.6
PAK,1990,2342,34.88,2,13.5
PAK,1991,2224,36.17,2.2,13.9
PAK,1992,2325,37.91,2.3,14.4
PAK,1993,2349,39.86,2.4,14.8
PAK,1994,2398,42.17,2.5,15.3
PAK,1995,2389,44.88,2.7,15.7
PAK,1996,2406,47.09,2.8,16.2
PAK,1997,2402,49.67,3,16.7
PAK,1998,2371,51.91,3.1,17.2
PAK,1999,2422,54.56,3.3,17.7
PAK,2000,2398,57.62,3.5,18.2
PAK,2001,2312,61.1,3.6,18.8
PAK,2002,2255,65.05,3.8,19.3
PAK,2003,2312,69.22,4,19.9
PAK,2004,2340,72.86,4.2,20.5
PAK,2005,2359,75.92,4.4,21.1
PAK,2006,2381,78.29,4.7,21.7
PAK,2007,2420,80.11,4.9,22.3
PAK,2008,2422,82.21,5.2,22.9
PAK,2009,2429,83.97,5.4,23.6
PAK,2010,2432,85.32,5.7,24.2
PAK,2011,2426,86.04,6,24.9
PAK,2012,2434,87.06,6.3,25.6
PAK,2013,2440,88.11,6.6,26.3
PAK,2014,2429,89.02,7,27
PAK,2015,2445,89.67,7.4,27.7
PAK,2016,2469,90.48,7.8,28.4
PLW,1990,,185.95,35.6,73.4
PLW,1991,,187.62,36.5,73.9
PLW,1992,,189.69,37.4,74.5
PLW,1993,,192.67,38.3,75
PLW,1994,,196.87,39.2,75.6
PLW,1995,,200.47,40,76.1
PLW,1996,,204.02,40.8,76.5
PLW,1997,,207.84,41.5,77
PLW,1998,,211.72,42.2,77.4
PLW,1999,,215.83,42.8,77.7
PLW,2000,,217.23,43.4,78.1
PLW,2001,,218.95,44,78.5
PLW,2002,,220.75,44.7,78.9
PLW,2003,,221.72,45.5,79.4
PLW,2004,,224.79,46.3,79.9
PLW,2005,,224.65,47.1,80.4
PLW,2006,,223.2,47.9,80.9
PLW,2007,,221.06,48.8,81.4
PLW,2008,,219.22,49.6,81.9
PLW,2009,,218.1,50.4,82.4
PLW,2010,,217.31,51.1,82.8
PLW,2011,,218.06,51.9,83.3
PLW,2012,,218.26,52.5,83.7
PLW,2013,,218.83,53.1,84.1
PLW,2014,,218.68,53.7,84.4
PLW,2015,,218.14,54.3,84.8
PLW,2016,,218.71,54.9,85.1
PAN,1990,2239,31.56,9,40.5
PAN,1991,2201,31.81,9.3,41.2
PAN,1992,2303,33.64,9.7,41.9
PAN,1993,2340,35.11,10.1,42.7
PAN,1994,2344,34.91,10.6,43.5
PAN,1995,2226,36.07,11,44.3
PAN,1996,2252,36.63,11.5,45.2
PAN,1997,2176,39.46,12,46
PAN,1998,2389,40.06,12.5,46.8
PAN,1999,2209,39.76,13.1,47.7
PAN,2000,2132,39.15,13.6,48.5
PAN,2001,2266,39.79,14.2,49.3
PAN,2002,2346,40.94,14.7,50
PAN,2003,2365,42.28,15.3,50.8
PAN,2004,2250,42.73,15.8,51.5
PAN,2005,2334,43.61,16.3,52.1
PAN,2006,2347,44.59,16.9,52.8
PAN,2007,2465,44.23,17.4,53.4
PAN,2008,2523,45.53,18,54
PAN,2009,2520,46.66,18.5,54.6
PAN,2010,2579,47.29,19,55.2
PAN,2011,2646,48.69,19.6,55.8
PAN,2012,2703,49.81,20.2,56.4
PAN,2013,2733,51.08,20.8,57
PAN,2014,2751,51.89,21.3,57.6
PAN,2015,2765,52.13,21.9,58.2
PAN,2016,2801,52.71,22.5,58.8
PNG,1990,,69.15,8,35.7
PNG,1991,,71.39,8.3,36.4
PNG,1992,,73.39,8.6,37.1
PNG,1993,,74.73,8.9,37.8
PNG,1994,,76.06,9.2,38.4
PNG,1995,,77.68,9.6,39.1
PNG,1996,,79.51,9.9,39.7
PNG,1997,,81.23,10.2,40.3
PNG,1998,,83.32,10.6,41
PNG,1999,,85.23,10.9,41.6
PNG,2000,,86.56,11.3,42.2
PNG,2001,,88.09,11.7,42.8
PNG,2002,,89.94,12.1,43.5
PNG,2003,,91.69,12.6,44.1
PNG,2004,,93.47,13,44.8
PNG,2005,,94.99,13.5,45.4
PNG,2006,,94.65,14,46.1
PNG,2007,,93.55,14.5,46.7
PNG,2008,,91.44,15,47.4
PNG,2009,,89.46,15.5,48.1
PNG,2010,,89.48,16,48.8
PNG,2011,,89.7,16.6,49.4
PNG,2012,,89.34,17.1,50.1
PNG,2013,,88.38,17.7,50.8
PNG,2014,,88.1,18.2,51.5
PNG,2015,,88.69,18.8,52.2
PNG,2016,,88.76,19.4,52.9
PRY,1990,2419,61.58,7.1,34.5
PRY,1991,2390,58.75,7.4,35.2
PRY,1992,2383,62.2,7.8,36
PRY,1993,2444,64.32,8.2,36.8
PRY,1994,2548,65.55,8.6,37.6
PRY,1995,2537,67.15,9,38.3
PRY,1996,2549,69.06,9.4,39.1
PRY,1997,2602,67.77,9.8,39.9
PRY,1998,2596,69.42,10.2,40.7
PRY,1999,2640,72.03,10.6,41.5
PRY,2000,2588,72.87,11.1,42.3
PRY,2001,2640,71.94,11.5,43
PRY,2002,2679,72.84,11.9,43.8
PRY,2003,2732,75.76,12.4,44.5
PRY,2004,2660,79.85,12.8,45.3
PRY,2005,2595,80.85,13.3,46
PRY,2006,2621,82.18,13.8,46.7
PRY,2007,2572,80.58,14.2,47.5
PRY,2008,2535,80.68,14.7,48.1
PRY,2009,2528,83.43,15.2,48.8
PRY,2010,2575,84.57,15.7,49.5
PRY,2011,2614,83.31,16.2,50.2
PRY,2012,2591,82.66,16.7,50.8
PRY,2013,2589,84.59,17.3,51.5
PRY,2014,2770,82.49,17.8,52.2
PRY,2015,2743,83.41,18.4,52.8
PRY,2016,2720,87.75,19,53.5
PER,1990,2022,47.32,9.1,42.4
PER,1991,2180,43.84,9.4,43
PER,1992,2138,47.13,9.7,43.6
PER,1993,2160,47.35,10,44.2
PER,1994,2206,47.69,10.3,44.8
PER,1995,2202,48.55,10.6,45.4
PER,1996,2274,45.71,10.9,46
PER,1997,2321,45.48,11.2,46.6
PER,1998,2258,45.38,11.6,47.2
PER,1999,2273,42.95,11.9,47.7
PER,2000,2366,43.62,12.3,48.3
PER,2001,2322,42.05,12.6,48.9
PER,2002,2337,42,13,49.5
PER,2003,2278,42.68,13.4,50.1
PER,2004,2296,41.38,13.8,50.7
PER,2005,2408,41.18,14.2,51.3
PER,2006,2433,40.54,14.6,51.9
PER,2007,2461,39.57,15,52.4
PER,2008,2525,40.55,15.4,53
PER,2009,2562,46.21,15.9,53.6
PER,2010,2617,47.92,16.3,54.2
PER,2011,2632,47.82,16.7,54.7
PER,2012,2682,47.4,17.2,55.3
PER,2013,2700,46.82,17.7,55.8
PER,2014,2738,45.29,18.1,56.4
PER,2015,2778,44.33,18.6,56.9
PER,2016,2748,44.25,19.1,57.5
PHL,1990,2257,33.29,1.6,15
PHL,1991,2214,32.69,1.8,15.5
PHL,1992,2246,33.66,1.9,16
PHL,1993,2207,34.89,2,16.5
PHL,1994,2313,36.37,2.1,17
PHL,1995,2289,37.87,2.2,17.4
PHL,1996,2364,40.24,2.4,17.9
PHL,1997,2343,42.41,2.5,18.3
PHL,1998,2292,45.59,2.6,18.8
PHL,1999,2359,48.89,2.8,19.2
PHL,2000,2392,52.66,2.9,19.6
PHL,2001,2373,56.12,3,20.1
PHL,2002,2393,59.29,3.2,20.5
PHL,2003,2391,60.46,3.3,21
PHL,2004,2461,62.02,3.5,21.4
PHL,2005,2472,64.31,3.6,21.9
PHL,2006,2514,65.33,3.8,22.3
PHL,2007,2570,65.21,4,22.8
PHL,2008,2583,66.26,4.2,23.3
PHL,2009,2595,67.13,4.4,23.8
PHL,2010,2582,67.47,4.6,24.3
PHL,2011,2572,68.87,4.8,24.8
PHL,2012,2584,72.07,5,25.3
PHL,2013,2570,75.57,5.2,25.9
PHL,2014,2508,78.94,5.5,26.4
PHL,2015,2563,82.14,5.7,27
PHL,2016,2558,82.75,6,27.6
POL,1990,3347,127.1,15.6,47.4
POL,1991,3288,132.16,15.9,47.8
POL,1992,3361,129.41,16.2,48.2
POL,1993,3425,124.98,16.5,48.6
POL,1994,3300,123.45,16.8,49
POL,1995,3320,122.95,17.1,49.3
POL,1996,3340,119.43,17.4,49.7
POL,1997,3316,118,17.7,50.1
POL,1998,3378,114.47,18,50.5
POL,1999,3384,113.71,18.3,50.9
POL,2000,3419,107.5,18.6,51.3
POL,2001,3421,103.87,18.9,51.7
POL,2002,3429,100.67,19.2,52.1
POL,2003,3421,98.8,19.6,52.5
POL,2004,3380,97.78,19.9,53
POL,2005,3370,96.42,20.3,53.4
POL,2006,3353,95.64,20.7,53.8
POL,2007,3364,95.03,21.1,54.3
POL,2008,3346,93.22,21.6,54.7
POL,2009,3418,91.37,22,55.2
POL,2010,3413,87.45,22.5,55.6
POL,2011,3443,85.56,22.9,56.1
POL,2012,3443,85.37,23.4,56.5
POL,2013,3451,83.66,24,57
POL,2014,3414,80.86,24.5,57.4
POL,2015,3373,81.77,25,57.8
POL,2016,3451,80.19,25.6,58.3
PRT,1990,3403,60.98,10.2,40.8
PRT,1991,3429,62.88,10.6,41.5
PRT,1992,3405,62.97,10.9,42.2
PRT,1993,3460,64.11,11.3,42.9
PRT,1994,3489,62.25,11.8,43.6
PRT,1995,3456,62.59,12.2,44.3
PRT,1996,3507,62.54,12.6,45.1
PRT,1997,3388,61.37,13.1,45.8
PRT,1998,3508,60.77,13.6,46.5
PRT,1999,3561,60.32,14.1,47.2
PRT,2000,3544,58.74,14.6,47.9
PRT,2001,3538,57.66,15.1,48.6
PRT,2002,3534,56.91,15.6,49.3
PRT,2003,3523,55.9,16.1,49.9
PRT,2004,3535,52.9,16.6,50.6
PRT,2005,3531,51.09,17.1,51.2
PRT,2006,3521,48.64,17.7,51.8
PRT,2007,3530,47.34,18.2,52.4
PRT,2008,3538,45.91,18.8,53
PRT,2009,3507,44.68,19.3,53.6
PRT,2010,3498,43.34,19.9,54.2
PRT,2011,3477,41.91,20.4,54.8
PRT,2012,3473,40.85,21,55.4
PRT,2013,3477,39.83,21.5,55.9
PRT,2014,3377,38.84,22.1,56.5
PRT,2015,3437,38.1,22.7,57
PRT,2016,3381,38.02,23.2,57.5
QAT,1990,,229.42,19.6,56.5
QAT,1991,,237.44,20.2,57.2
QAT,1992,,244.98,20.8,57.9
QAT,1993,,251.6,21.3,58.5
QAT,1994,,219.64,21.9,59.2
QAT,1995,,199.08,22.5,59.9
QAT,1996,,233.82,23.2,60.5
QAT,1997,,255.38,23.9,61.1
QAT,1998,,260.57,24.6,61.7
QAT,1999,,257.53,25.3,62.3
QAT,2000,,244.28,26,62.9
QAT,2001,,241.46,26.7,63.5
QAT,2002,,249.98,27.5,64
QAT,2003,,251.99,28.1,64.6
QAT,2004,,246.05,28.4,65.1
QAT,2005,,250.54,28.5,65.6
QAT,2006,,263.9,28.4,66.1
QAT,2007,,271.6,28.5,66.6
QAT,2008,,264.76,28.7,67.2
QAT,2009,,260.66,29,67.7
QAT,2010,,252,29.5,68.3
QAT,2011,,241.65,30,68.9
QAT,2012,,233.18,30.6,69.5
QAT,2013,,229.04,31.3,70
QAT,2014,,228.81,32,70.6
QAT,2015,,230.67,32.9,71.1
QAT,2016,,225.99,33.9,71.7
ROU,1990,3127,129.31,13.6,45
ROU,1991,2922,131.27,14,45.6
ROU,1992,2835,137.87,14.3,46.2
ROU,1993,3000,139.91,14.7,46.7
ROU,1994,2931,142.38,15,47.2
ROU,1995,3027,147.57,15.4,47.7
ROU,1996,3056,153.22,15.7,48.1
ROU,1997,3046,152.47,16,48.5
ROU,1998,3068,146.54,16.3,48.9
ROU,1999,3081,139.56,16.6,49.4
ROU,2000,3141,135.01,17,49.8
ROU,2001,3239,137.94,17.3,50.2
ROU,2002,3319,140.84,17.6,50.6
ROU,2003,3365,140.11,18,51
ROU,2004,3354,135.6,18.3,51.5
ROU,2005,3396,135.15,18.7,52
ROU,2006,3430,131.71,19.1,52.5
ROU,2007,3375,128.26,19.6,53
ROU,2008,3402,128.61,20,53.5
ROU,2009,3379,129.13,20.5,54
ROU,2010,3325,127.14,21,54.5
ROU,2011,3339,119.53,21.5,55
ROU,2012,3341,118.79,22.1,55.6
ROU,2013,3358,113.06,22.7,56.1
ROU,2014,3417,114.83,23.3,56.6
ROU,2015,3476,113,23.9,57.1
ROU,2016,3525,111.95,24.5,57.7
RUS,1992,2925,128.98,19,49.5
RUS,1993,2972,152.98,19.2,49.7
RUS,1994,2918,167.87,19.4,50
RUS,1995,2893,160.76,19.6,50.2
RUS,1996,2787,151.63,19.8,50.5
RUS,1997,2856,144.72,20,50.7
RUS,1998,2863,143.58,20.2,51
RUS,1999,2889,155.4,20.3,51.2
RUS,2000,2877,162.53,20.5,51.5
RUS,2001,2954,166.25,20.7,51.8
RUS,2002,3025,171.97,20.9,52.1
RUS,2003,3064,176.04,21.1,52.4
RUS,2004,3113,171.15,21.4,52.8
RUS,2005,3204,176.85,21.6,53.1
RUS,2006,3247,163.52,21.9,53.5
RUS,2007,3309,156.5,22.2,53.8
RUS,2008,3312,157.94,22.5,54.2
RUS,2009,3273,151.65,22.8,54.5
RUS,2010,3302,152.71,23.2,54.9
RUS,2011,3331,142.32,23.5,55.3
RUS,2012,3366,137.79,23.9,55.6
RUS,2013,3361,134.27,24.4,56
RUS,2014,3365,135.21,24.8,56.3
RUS,2015,3353,132.56,25.2,56.7
RUS,2016,3339,129.74,25.7,57.1
RUS,1990,,119.49,18.5,49
RUS,1991,,120.68,18.7,49.2
RWA,1990,1819,51.02,0.9,11.4
RWA,1991,1951,51.03,1,11.8
RWA,1992,1891,50.6,1,12.1
RWA,1993,1938,50.1,1.1,12.5
RWA,1994,1862,50.89,1.2,12.9
RWA,1995,1814,51.54,1.2,13.4
RWA,1996,1771,51,1.3,13.8
RWA,1997,1723,50.01,1.4,14.3
RWA,1998,1739,48.93,1.5,14.8
RWA,1999,1739,46.79,1.6,15.3
RWA,2000,1857,44.27,1.7,15.8
RWA,2001,1912,42.06,1.9,16.3
RWA,2002,2094,41.42,2,16.8
RWA,2003,2004,40.94,2.1,17.4
RWA,2004,1969,40.56,2.2,17.9
RWA,2005,2037,39.9,2.4,18.5
RWA,2006,2044,39.53,2.5,19.1
RWA,2007,2053,39.74,2.7,19.6
RWA,2008,2101,40.27,2.9,20.2
RWA,2009,2196,40.66,3.1,20.8
RWA,2010,2198,41.63,3.3,21.4
RWA,2011,2213,42.79,3.5,22
RWA,2012,2270,44.46,3.8,22.6
RWA,2013,2228,45.86,4,23.2
RWA,2014,2214,47.52,4.3,23.8
RWA,2015,2185,49.06,4.5,24.5
RWA,2016,2211,50.31,4.8,25.1
KNA,1990,2498,167.71,9.7,35.4
KNA,1991,2518,147.82,10.1,35.9
KNA,1992,2506,146.3,10.4,36.5
KNA,1993,2408,143.88,10.8,37.1
KNA,1994,2432,146.69,11.2,37.7
KNA,1995,2493,150.68,11.6,38.3
KNA,1996,2514,148.3,12,38.9
KNA,1997,2415,144.51,12.4,39.5
KNA,1998,2399,141.32,12.9,40.2
KNA,1999,2384,137.12,13.4,40.8
KNA,2000,2514,133.53,13.8,41.4
KNA,2001,2539,130.46,14.3,42.1
KNA,2002,2514,127.68,14.8,42.7
KNA,2003,2463,124.79,15.3,43.3
KNA,2004,2466,125.48,15.8,44
KNA,2005,2406,123.98,16.3,44.7
KNA,2006,2427,123.15,16.8,45.3
KNA,2007,2454,121.7,17.4,46
KNA,2008,2513,112.46,17.9,46.7
KNA,2009,2492,111.01,18.5,47.3
KNA,2010,2487,110.95,19.1,48
KNA,2011,2470,110.87,19.7,48.7
KNA,2012,2477,111.04,20.4,49.4
KNA,2013,2492,111.5,21,50.2
KNA,2014,2511,112.76,21.7,50.9
KNA,2015,2520,113.75,22.4,51.6
KNA,2016,2730,114.51,23.1,52.3
LCA,1990,2497,107.07,8.2,32.5
LCA,1991,2568,110.27,8.5,33.2
LCA,1992,2687,113.61,8.9,33.8
LCA,1993,2682,114.62,9.3,34.5
LCA,1994,2727,113.47,9.6,35.1
LCA,1995,2669,113.7,10,35.8
LCA,1996,2672,110.56,10.4,36.5
LCA,1997,2735,106.25,10.7,37.1
LCA,1998,2684,103.58,11.1,37.7
LCA,1999,2708,101.4,11.5,38.4
LCA,2000,2709,99.38,11.9,39
LCA,2001,2610,98.78,12.3,39.7
LCA,2002,2677,97.68,12.6,40.2
LCA,2003,2640,96.91,13,40.8
LCA,2004,2649,96.05,13.3,41.3
LCA,2005,2653,94.32,13.7,41.8
LCA,2006,2631,91.67,14.2,42.3
LCA,2007,2589,87.25,14.7,42.7
LCA,2008,2555,85.62,15.3,43.2
LCA,2009,2581,83.8,15.8,43.7
LCA,2010,2596,81.33,16.3,44.1
LCA,2011,2583,80.51,16.9,44.7
LCA,2012,2579,80.15,17.4,45.3
LCA,2013,2595,82.81,17.9,45.9
LCA,2014,2618,84.48,18.5,46.6
LCA,2015,2608,85.71,19.2,47.3
LCA,2016,2623,91.68,19.8,48.1
VCT,1990,2331,91.49,8.8,35.4
VCT,1991,2367,94.11,9.2,36.2
VCT,1992,2354,97.3,9.6,36.9
VCT,1993,2457,99.72,10,37.6
VCT,1994,2329,101.88,10.4,38.4
VCT,1995,2327,100.79,10.8,39.1
VCT,1996,2329,101.26,11.3,39.9
VCT,1997,2314,100.14,11.8,40.6
VCT,1998,2375,101.35,12.3,41.4
VCT,1999,2468,102.03,12.8,42.1
VCT,2000,2498,103.07,13.3,42.9
VCT,2001,2474,101.47,13.9,43.6
VCT,2002,2658,102.28,14.4,44.4
VCT,2003,2685,103.29,15,45.1
VCT,2004,2712,103.63,15.6,45.9
VCT,2005,2781,101.73,16.2,46.7
VCT,2006,2800,99.8,16.8,47.4
VCT,2007,2832,99.34,17.4,48.2
VCT,2008,2868,102.38,18.1,49
VCT,2009,2873,105.75,18.7,49.7
VCT,2010,2907,108.97,19.4,50.5
VCT,2011,2941,112.98,20.1,51.2
VCT,2012,2929,116.38,20.8,52
VCT,2013,2968,119.09,21.5,52.7
VCT,2014,2945,122.03,22.3,53.5
VCT,2015,2939,122.27,23,54.2
VCT,2016,2953,122.68,23.8,55
WSM,1990,2580,195.18,25.8,63.7
WSM,1991,2571,196.18,26.5,64.3
WSM,1992,2442,197.51,27.3,64.9
WSM,1993,2344,198.2,28.1,65.6
WSM,1994,2397,199.11,29,66.2
WSM,1995,2465,200.3,29.8,66.8
WSM,1996,2503,201.22,30.6,67.4
WSM,1997,2553,201.81,31.4,68
WSM,1998,2614,202.15,32.3,68.6
WSM,1999,2708,203.84,33.1,69.2
WSM,2000,2772,204.96,34,69.8
WSM,2001,2821,205.8,34.8,70.4
WSM,2002,2817,206.65,35.7,71
WSM,2003,2830,207.28,36.6,71.5
WSM,2004,2882,207.61,37.4,72.1
WSM,2005,2894,207.42,38.2,72.6
WSM,2006,2860,205.58,38.9,73.1
WSM,2007,2851,202.15,39.6,73.6
WSM,2008,2914,198.56,40.3,74.1
WSM,2009,2881,195.69,41,74.5
WSM,2010,2911,193.48,41.7,75
WSM,2011,2883,192.38,42.3,75.4
WSM,2012,2962,190.9,42.9,75.9
WSM,2013,2960,189.46,43.6,76.3
WSM,2014,2974,188.4,44.2,76.8
WSM,2015,2972,187.69,44.8,77.2
WSM,2016,3001,187.96,45.5,77.6
STP,1990,2214,52.8,2.9,17.9
STP,1991,2228,54.08,3.1,18.5
STP,1992,2185,55.58,3.3,19.1
STP,1993,2193,56.88,3.5,19.8
STP,1994,2229,58.32,3.7,20.4
STP,1995,2109,60.39,4,21
STP,1996,2167,63.25,4.2,21.7
STP,1997,2187,66.09,4.4,22.4
STP,1998,2220,68.91,4.6,23.1
STP,1999,2238,70.68,4.8,23.8
STP,2000,2379,72.11,5,24.5
STP,2001,2404,73.55,5.2,25.2
STP,2002,2460,75.3,5.5,25.9
STP,2003,2506,75.89,5.7,26.6
STP,2004,2513,78.19,6,27.3
STP,2005,2546,76.43,6.3,28
STP,2006,2554,79.14,6.6,28.7
STP,2007,2511,80.74,6.9,29.4
STP,2008,2466,80.82,7.3,30.1
STP,2009,2435,82.9,7.7,30.7
STP,2010,2368,85.17,8,31.4
STP,2011,2331,84.98,8.4,32.1
STP,2012,2338,85.98,8.9,32.7
STP,2013,2400,87.89,9.3,33.4
STP,2014,2381,90.93,9.7,34.1
STP,2015,2369,92.23,10.2,34.7
STP,2016,2413,93.44,10.6,35.4
SAU,1990,2867,121.56,17.3,53.9
SAU,1991,2865,127.87,18,54.7
SAU,1992,2780,133.35,18.7,55.4
SAU,1993,2742,138.53,19.4,56.1
SAU,1994,2703,143.51,20.1,56.9
SAU,1995,2849,147.85,20.8,57.6
SAU,1996,2913,151.82,21.4,58.3
SAU,1997,2976,155.25,21.9,59
SAU,1998,3011,158.16,22.4,59.7
SAU,1999,3072,160.93,22.9,60.4
SAU,2000,3111,163.83,23.4,61
SAU,2001,3080,165.41,24,61.5
SAU,2002,3021,167.2,24.6,62
SAU,2003,3003,168.88,25.2,62.5
SAU,2004,2959,169.7,25.8,63
SAU,2005,2991,171.72,26.5,63.6
SAU,2006,3045,174.51,27.1,64.1
SAU,2007,3046,176.97,27.8,64.7
SAU,2008,3014,178.75,28.5,65.2
SAU,2009,3007,178.53,29.2,65.8
SAU,2010,3124,177.94,30,66.4
SAU,2011,3103,175.09,30.8,66.9
SAU,2012,3269,172.06,31.6,67.5
SAU,2013,3255,170.19,32.4,68.1
SAU,2014,3274,168.12,33.3,68.6
SAU,2015,3291,167.02,34.1,69.1
SAU,2016,3312,165.22,35,69.7
SEN,1990,2237,51.3,2.6,16.2
SEN,1991,2240,52.03,2.7,16.6
SEN,1992,2108,52.34,2.8,17
SEN,1993,2227,52.75,2.9,17.4
SEN,1994,2149,53.47,3,17.8
SEN,1995,2167,52.67,3.1,18.2
SEN,1996,2107,52.25,3.2,18.7
SEN,1997,2114,52.05,3.4,19.1
SEN,1998,2107,52.67,3.5,19.5
SEN,1999,2154,53.46,3.7,20
SEN,2000,2164,52.72,3.8,20.4
SEN,2001,2174,61.03,4,20.9
SEN,2002,2144,61.62,4.1,21.3
SEN,2003,2223,59.47,4.3,21.8
SEN,2004,2248,61.17,4.5,22.3
SEN,2005,2237,61.49,4.7,22.7
SEN,2006,2310,61.38,4.9,23.2
SEN,2007,2342,62.46,5.1,23.7
SEN,2008,2439,64.12,5.3,24.2
SEN,2009,2446,66.69,5.5,24.7
SEN,2010,2435,63.69,5.7,25.2
SEN,2011,2428,65.35,6,25.7
SEN,2012,2443,65.58,6.2,26.2
SEN,2013,2456,67.3,6.5,26.8
SEN,2014,2438,69.61,6.8,27.3
SEN,2015,2439,70.66,7.1,27.8
SEN,2016,2540,72.3,7.4,28.4
SRB,2006,2750,145.78,18.8,52.3
SRB,2007,2714,142.88,19.2,52.8
SRB,2008,2722,142.84,19.7,53.3
SRB,2009,2760,140.14,20.2,53.8
SRB,2010,2725,135.28,20.6,54.3
SRB,2011,2733,131.35,21.1,54.8
SRB,2012,2717,129.57,21.6,55.2
SRB,2013,2728,128.72,22,55.7
SRB,2014,2807,130.22,22.5,56.2
SRB,2015,2792,130.72,23,56.7
SRB,2016,2811,126.22,23.5,57.1
SRB,1990,,142.05,13.1,44.4
SRB,1991,,140.48,13.4,44.9
SRB,1992,,142.86,13.7,45.4
SRB,1993,,146.92,14.1,45.9
SRB,1994,,150.47,14.4,46.3
SRB,1995,,155.16,14.8,46.8
SRB,1996,,160.45,15.1,47.3
SRB,1997,,166.9,15.4,47.8
SRB,1998,,152.18,15.8,48.3
SRB,1999,,150.06,16.1,48.8
SRB,2000,,150.51,16.5,49.3
SRB,2001,,145.62,16.8,49.7
SRB,2002,,143.21,17.2,50.2
SRB,2003,,144.79,17.5,50.7
SRB,2004,,145.87,17.9,51.3
SRB,2005,,148.61,18.4,51.8
SYC,1990,,72.16,5.6,24.2
SYC,1991,,72.68,5.8,24.6
SYC,1992,,74.02,6.1,25
SYC,1993,,75.24,6.3,25.4
SYC,1994,,77.28,6.5,25.8
SYC,1995,,77.63,6.7,26.2
SYC,1996,,78.77,7,26.7
SYC,1997,,79.05,7.2,27.1
SYC,1998,,79.32,7.5,27.6
SYC,1999,,79.31,7.8,28
SYC,2000,,78.37,8.1,28.5
SYC,2001,,78.47,8.4,29
SYC,2002,,80.27,8.6,29.4
SYC,2003,,82.06,8.9,29.9
SYC,2004,,81.21,9.3,30.4
SYC,2005,,80.52,9.7,30.9
SYC,2006,,78.9,10,31.4
SYC,2007,,77.95,10.4,31.9
SYC,2008,,76.91,10.7,32.4
SYC,2009,,74.82,11.1,32.9
SYC,2010,,72.3,11.7,33.4
SYC,2011,,71.15,12.1,34
SYC,2012,,71.99,12.5,34.5
SYC,2013,,72.23,12.9,35.1
SYC,2014,,72.83,13.4,35.7
SYC,2015,,73.9,14.1,36.2
SYC,2016,,75.71,14.6,36.8
SLE,1990,1950,32.28,2.4,15.4
SLE,1991,1991,32.48,2.6,15.8
SLE,1992,2018,32.9,2.7,16.2
SLE,1993,2038,33.05,2.8,16.6
SLE,1994,2116,33.23,2.9,17
SLE,1995,2136,33.76,3,17.4
SLE,1996,2177,34.31,3.1,17.8
SLE,1997,2203,35.27,3.3,18.2
SLE,1998,2153,35.85,3.4,18.7
SLE,1999,2069,36.44,3.6,19.1
SLE,2000,1990,37.1,3.7,19.6
SLE,2001,1995,37.97,3.9,20
SLE,2002,2045,39,4.1,20.5
SLE,2003,2032,40.02,4.2,21
SLE,2004,2024,41.06,4.4,21.5
SLE,2005,2082,42.22,4.6,22
SLE,2006,2155,43.13,4.8,22.5
SLE,2007,2194,44.53,5.1,23
SLE,2008,2197,45.08,5.3,23.5
SLE,2009,2251,46.46,5.5,24
SLE,2010,2275,48.06,5.8,24.5
SLE,2011,2335,49.13,6,25
SLE,2012,2374,50.35,6.3,25.5
SLE,2013,2404,51.08,6.6,26.1
SLE,2014,2301,51.97,6.9,26.6
SLE,2015,2314,52.92,7.2,27.2
SLE,2016,2316,53.87,7.5,27.7
SGP,1990,,32.88,3.4,25.5
SGP,1991,,32.55,3.5,25.7
SGP,1992,,32.44,3.6,25.9
SGP,1993,,32.7,3.7,26.2
SGP,1994,,33.31,3.9,26.4
SGP,1995,,33.7,4,26.6
SGP,1996,,33.63,4.1,26.8
